2 0.157794 0.842206
4 0.309078 0.690922
6 0.449348 0.550652
8 0.573839 0.426162
10 0.680409 0.319591
12 0.767696 0.232304
14 0.836758 0.163242
16 0.889114 0.110886
18 0.927239 0.0727606
20 0.953933 0.0460673
